Hybridization REF	TCGA-AP-A05J-01A-11R-A00V-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.188333333333333
CREB3L1	-0.1625
RPS11	1.157625
PNMA1	-0.60275
MMP2	-1.322
C10orf90	-1.48125
ZHX3	-0.335
ERCC5	0.28125
GPR98	-1.285
RXFP3	0.3795
APBB2	1.0575
PRO0478	-1.083125
KLHL13	-2.621
PRSSL1	-0.803333333333333
PDCL3	0.423
DECR1	-1.076
SALL1	0.893166666666667
CADM4	2.6295
RPS18	-0.380785714285714
HNRPD	-0.4725
CFHR5	-0.2
SLC10A7	0.00762500000000001
OR2K2	0.359
LMAN1	-1.802625
SUHW1	-2.32375
CHD8	0.391
SUMO1	1.0352
GP1BA	-0.0436
DDB1	-0.0738333333333333
MYO9B	0.0684
MMP7	4.78025
CRNKL1	-0.1105
C9orf45	-0.574166666666667
XAB2	-0.274625
RTN1	0.588
KLHL14	1.54975
TBX10	-1.3425
CENPQ	-1.70125
UTY	-1.0655
ZBTB12	1.6045
DTNBP1	-0.91475
KBTBD8	-0.998166666666667
ZEB1	-0.47
ZG16	-0.073
MIER1	0.4278
ADAM5P	0.92
CHD9	-1.1005
STK16	0.8145
KIAA1486	0.0585
TOB2	0.342583333333333
BANK1	4.5335
OR2V2	0.8405
GRM2	0.982833333333333
PROSC	-0.167625
SPIN2B	-0.2495
PIR	-3.10711111111111
IPO9	0.113888888888889
EVC	0.681
CXCL13	0.683333333333333
KIAA1199	-2.39811111111111
SORL1	1.50675
NAT10	0.33775
CHD1	-0.964
SYN3	-1.43975
SLC22A2	-1.57725
SERPINF1	-3.1305
WDR34	0.56925
OR7A17	0.13875
C9orf11	-0.666
RNF216L	-0.8174
LHB	0.2395
STK25	0.65575
TAOK3	0.3935
LOC152573	-3.88
C3orf39	1.11675
C14orf108	0.3065
CDC25B	0.178090909090909
BMP3	3.78
TMEM180	0.1505
MAP1LC3C	-0.40725
CRYGC	1.6225
POU3F1	-1.0168
C20orf32	-1.6995
CCDC95	-0.1515
HIGD1B	3.836
USP6NL	0.745875
ABCD4	0.325833333333333
DIMT1L	-0.80425
TEK	-0.395125
SLC25A46	-1.53425
LARP7	-0.6558
CD160	0.6086
MT1JP	-1.494
PHF20	-0.4544375
CPNE4	-1.89175
GTPBP1	-0.400214285714286
RAB33B	0.0878
ALDOC	-2.798375
ZNF212	0.08125
NUDT1	0.924
RFPL2	-1.30475
ZNF83	-0.930833333333333
GDPD5	-0.49925
PDCD4	0.7175
CEP350	-1.76575
OR10A2	0.3525
CST7	-0.393666666666667
CIAO1	-0.484
SELL	0.1625
OR8J3	0.418
LTBP4	0.341833333333333
SIRT6	0.10275
CCL19	1.36975
PPIL1	-0.519166666666667
GBP7	-0.0218
STK17A	-1.6327
ABR	-1.85975
OR9G1	0.5445
FOXE1	-0.60175
CNGA3	-0.231
GML	0.78
CD38	-3.68875
ZDHHC6	0.806333333333333
NEFH	-0.2645
CTDSP2	0.609666666666667
PGBD5	-2.57666666666667
CCNY	1.098
RMND5B	0.988083333333333
ZNF257	-0.79375
FLJ22167	0.206
