Hybridization REF	TCGA-AX-A060-01A-11R-A00V-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.297166666666667
CREB3L1	1.857
RPS11	0.814125
PNMA1	-0.205
MMP2	-1.0198
C10orf90	-1.27525
ZHX3	-0.691333333333333
ERCC5	0.59275
GPR98	-0.236833333333333
RXFP3	-0.1435
APBB2	0.251
PRO0478	-1.414
KLHL13	-1.953
PRSSL1	-0.8626
PDCL3	1.1505
DECR1	-0.505875
SALL1	1.30916666666667
CADM4	-0.494333333333333
RPS18	0.870285714285714
HNRPD	-0.128833333333333
CFHR5	2.09583333333333
SLC10A7	1.19028571428571
OR2K2	1.3245
LMAN1	0.54625
SUHW1	-0.7205
CHD8	-0.4374
SUMO1	0.8232
GP1BA	0.916428571428571
DDB1	-0.183666666666667
MYO9B	-0.4845
MMP7	3.00575
CRNKL1	0.785625
C9orf45	-1.13633333333333
XAB2	0.156375
RTN1	0.260714285714286
KLHL14	1.44957142857143
TBX10	-0.918
CENPQ	-0.85975
UTY	-0.0449166666666667
ZBTB12	1
DTNBP1	-0.71725
KBTBD8	0.1355
ZEB1	-0.799333333333333
ZG16	-1.067
MIER1	0.6755
ADAM5P	0.4295
CHD9	-0.4263125
STK16	0.81775
KIAA1486	-0.259
TOB2	1.22691666666667
BANK1	3.5945
OR2V2	0.857666666666667
GRM2	0.2105
PROSC	0.512875
SPIN2B	0.22425
PIR	-2.23511111111111
IPO9	-0.351
EVC	0.884833333333333
CXCL13	1.41916666666667
KIAA1199	-1.2956
SORL1	1.205
NAT10	-0.448
CHD1	-1.0055
SYN3	-0.69025
SLC22A2	0.40075
SERPINF1	-3.1855
WDR34	-0.158
OR7A17	-0.109
C9orf11	-0.473
RNF216L	-0.5398
LHB	-0.5485
STK25	-0.60925
TAOK3	-0.26725
LOC152573	-1.0135
C3orf39	-0.1525
C14orf108	0.3861
CDC25B	-2.24554545454545
BMP3	0.498
TMEM180	0.337
MAP1LC3C	0.6925
CRYGC	0.519
POU3F1	-1.33788888888889
C20orf32	-0.9435
CCDC95	-0.317
HIGD1B	3.00575
USP6NL	0.523142857142857
ABCD4	0.68
DIMT1L	-0.589833333333333
TEK	0.2975
SLC25A46	0.04
LARP7	-2.306
CD160	0.0828
MT1JP	-3.28283333333333
PHF20	-0.0770625
CPNE4	-1.23375
GTPBP1	-0.296214285714286
RAB33B	3.381
ALDOC	-4.30675
ZNF212	-0.14875
NUDT1	-1.514
RFPL2	0.3815
ZNF83	-0.777833333333333
GDPD5	-1.8295
PDCD4	1.4364
CEP350	0.27825
OR10A2	-0.08
CST7	0.1615
CIAO1	-0.93475
SELL	-0.145625
OR8J3	1.6345
LTBP4	-1.18216666666667
SIRT6	0.4005
CCL19	1.0615
PPIL1	-0.714166666666667
GBP7	0.218
STK17A	-1.5039
ABR	0.1625
OR9G1	0.524
FOXE1	-0.02075
CNGA3	-0.1
GML	0.5
CD38	-2.96175
ZDHHC6	0.401833333333333
NEFH	-4.54166666666667
CTDSP2	-0.390916666666667
PGBD5	-0.818833333333333
CCNY	0.702571428571429
RMND5B	0.167583333333333
ZNF257	-1.218
FLJ22167	1.13975
EXOSC7	0.0665
